epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,798.899,0.90727,0.5152,1.10263,0.978,0.94756,0.95806,0.77091,0.85887,0.39216,1.12828,0.004786,0.004786,0.004786
81,808.166,0.89333,0.51295,1.10424,0.97756,0.95937,0.96396,0.76025,0.90563,0.42452,1.17523,0.00472,0.00472,0.00472
82,817.522,0.8961,0.50602,1.10393,0.9689,0.96916,0.97291,0.77542,0.8605,0.40346,1.12676,0.004654,0.004654,0.004654
83,826.848,0.88012,0.4939,1.11175,0.97895,0.94679,0.9536,0.76771,0.88768,0.40896,1.16754,0.004588,0.004588,0.004588
84,836.467,0.89604,0.50276,1.11287,0.98715,0.94838,0.95579,0.77235,0.8444,0.40598,1.12843,0.004522,0.004522,0.004522
85,845.729,0.90969,0.52321,1.12061,0.90034,0.89491,0.91877,0.71883,0.98659,0.56936,1.20509,0.004456,0.004456,0.004456
86,855.04,0.91345,0.53364,1.12995,0.96297,0.9317,0.94977,0.76156,0.93085,0.48246,1.17463,0.00439,0.00439,0.00439
87,864.492,0.89548,0.50151,1.10179,0.98388,0.93838,0.95207,0.77687,0.82274,0.41095,1.11354,0.004324,0.004324,0.004324
88,874.024,0.89448,0.50608,1.09844,0.97925,0.9666,0.97343,0.7756,0.88616,0.40609,1.14086,0.004258,0.004258,0.004258
89,883.467,0.88284,0.49725,1.09383,0.9803,0.946,0.96648,0.76744,0.92631,0.44581,1.1817,0.004192,0.004192,0.004192
90,893.332,0.89632,0.49951,1.09745,0.97898,0.9593,0.96645,0.77476,0.90621,0.38779,1.16858,0.004126,0.004126,0.004126
91,903.265,0.87388,0.49342,1.08468,0.9782,0.96268,0.96811,0.78337,0.82691,0.3757,1.11425,0.00406,0.00406,0.00406
92,913.441,0.89016,0.50236,1.10729,0.87535,0.88989,0.90773,0.67178,1.11895,0.64929,1.27126,0.003994,0.003994,0.003994
93,923.715,0.89429,0.50442,1.11027,0.97886,0.97009,0.9791,0.79109,0.81326,0.41821,1.09494,0.003928,0.003928,0.003928
94,933.509,0.87985,0.48888,1.09058,0.97807,0.98051,0.98172,0.7854,0.84111,0.38857,1.11655,0.003862,0.003862,0.003862
95,943.172,0.88762,0.50061,1.0921,0.98027,0.96071,0.96655,0.78593,0.8349,0.368,1.11465,0.003796,0.003796,0.003796
96,953.006,0.85991,0.48601,1.07291,0.94654,0.94856,0.94782,0.77227,0.858,0.3839,1.1418,0.00373,0.00373,0.00373
97,962.863,0.88308,0.49361,1.09399,0.98082,0.95638,0.96294,0.78118,0.8304,0.38934,1.11156,0.003664,0.003664,0.003664
98,971.997,0.86594,0.47629,1.08689,0.98214,0.95493,0.97014,0.7901,0.83852,0.38557,1.11716,0.003598,0.003598,0.003598
99,981.215,0.89545,0.51547,1.09925,0.98283,0.95325,0.95996,0.76905,0.84788,0.3889,1.12163,0.003532,0.003532,0.003532
100,990.437,0.89602,0.50602,1.11385,0.98424,0.95065,0.96987,0.78944,0.8572,0.38655,1.13658,0.003466,0.003466,0.003466
101,999.592,0.88073,0.47972,1.09608,0.9775,0.96742,0.97609,0.78702,0.84985,0.37453,1.1246,0.0034,0.0034,0.0034
102,1009.03,0.89678,0.5042,1.10906,0.97547,0.96298,0.97102,0.79527,0.84747,0.3774,1.13059,0.003334,0.003334,0.003334
103,1018.52,0.87809,0.48988,1.09407,0.97668,0.95579,0.96955,0.78442,0.83153,0.37266,1.11115,0.003268,0.003268,0.003268
104,1027.94,0.87647,0.46848,1.09097,0.99205,0.94436,0.9652,0.79015,0.81111,0.36435,1.10076,0.003202,0.003202,0.003202
105,1037.3,0.89596,0.49343,1.11358,0.98158,0.97137,0.97669,0.796,0.83912,0.3813,1.11284,0.003136,0.003136,0.003136
106,1046.72,0.87565,0.4711,1.0852,0.98095,0.95332,0.9645,0.79272,0.83794,0.36547,1.12878,0.00307,0.00307,0.00307
107,1056.14,0.87856,0.4945,1.08512,0.98373,0.96005,0.96741,0.7757,0.86341,0.36143,1.1342,0.003004,0.003004,0.003004
108,1065.26,0.85364,0.46406,1.06825,0.98527,0.96544,0.97269,0.77859,0.83863,0.36678,1.11145,0.002938,0.002938,0.002938
109,1074.29,0.86656,0.46974,1.09741,0.9851,0.95201,0.9683,0.77531,0.87132,0.38203,1.15869,0.002872,0.002872,0.002872
110,1083.31,0.85979,0.4777,1.09565,0.97274,0.95154,0.96024,0.7737,0.84806,0.3678,1.12508,0.002806,0.002806,0.002806
111,1092.5,0.87129,0.47679,1.09848,0.97649,0.96317,0.96853,0.77336,0.87872,0.37487,1.15003,0.00274,0.00274,0.00274
112,1101.74,0.86281,0.46889,1.08327,0.98046,0.97037,0.97542,0.78527,0.83768,0.36371,1.10279,0.002674,0.002674,0.002674
113,1110.73,0.87551,0.47089,1.07977,0.97393,0.94825,0.95924,0.78026,0.86755,0.38007,1.13058,0.002608,0.002608,0.002608
114,1119.62,0.87258,0.53679,1.08607,0.97697,0.96148,0.9741,0.78401,0.82189,0.36209,1.10557,0.002542,0.002542,0.002542
115,1128.62,0.87085,0.47954,1.0954,0.98578,0.95414,0.96807,0.79411,0.81862,0.37199,1.10377,0.002476,0.002476,0.002476
116,1137.61,0.85209,0.45754,1.07854,0.97393,0.94577,0.96453,0.79102,0.85869,0.35492,1.13456,0.00241,0.00241,0.00241
117,1146.56,0.86502,0.47127,1.08277,0.97821,0.95836,0.97121,0.79896,0.82163,0.35102,1.10623,0.002344,0.002344,0.002344
118,1155.5,0.88085,0.48091,1.09601,0.98934,0.95979,0.97319,0.79766,0.81303,0.34156,1.09589,0.002278,0.002278,0.002278
119,1164.58,0.85675,0.46578,1.07229,0.98325,0.95989,0.97437,0.79856,0.80537,0.35252,1.08991,0.002212,0.002212,0.002212
120,1173.68,0.86617,0.47624,1.09746,0.97766,0.95917,0.96585,0.77865,0.84017,0.36828,1.11903,0.002146,0.002146,0.002146
121,1182.93,0.83793,0.44842,1.06642,0.9809,0.96698,0.97684,0.79506,0.80912,0.34786,1.09563,0.00208,0.00208,0.00208
122,1192.42,0.86345,0.45784,1.09506,0.98434,0.95435,0.96854,0.78199,0.84491,0.35286,1.13104,0.002014,0.002014,0.002014
123,1202.12,0.8531,0.44534,1.09264,0.98327,0.95453,0.96804,0.78215,0.84038,0.35493,1.12276,0.001948,0.001948,0.001948
124,1211.37,0.85738,0.45717,1.08762,0.98412,0.96036,0.9723,0.79047,0.83343,0.34807,1.11831,0.001882,0.001882,0.001882
125,1220.91,0.86749,0.46273,1.09146,0.97715,0.97039,0.97377,0.79229,0.81396,0.36374,1.09544,0.001816,0.001816,0.001816
126,1230.72,0.90041,0.51532,1.10917,0.97645,0.95781,0.96922,0.79051,0.8391,0.36408,1.12292,0.00175,0.00175,0.00175
127,1240.57,0.84403,0.47103,1.0923,0.98425,0.94256,0.95911,0.78199,0.8326,0.37802,1.115,0.001684,0.001684,0.001684
