epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,2283.56,1.22702,0.5417,1.28601,0.98222,0.98726,0.98652,0.63261,1.35273,0.54634,1.28539,0.0003755,0.0003755,0.0003755
108,2295.93,1.20431,0.54284,1.28747,0.97416,0.97585,0.97295,0.54824,1.58924,0.62159,1.43037,0.00036725,0.00036725,0.00036725
109,2308.18,1.21157,0.53781,1.27686,0.98341,0.99385,0.99124,0.62824,1.35876,0.55655,1.29967,0.000359,0.000359,0.000359
110,2320.51,1.19778,0.54648,1.28597,0.94812,0.95897,0.95952,0.52966,1.7138,0.65132,1.4505,0.00035075,0.00035075,0.00035075
111,2332.83,1.17654,0.5321,1.26652,0.98836,0.99204,0.98791,0.62684,1.33395,0.54179,1.28152,0.0003425,0.0003425,0.0003425
112,2345.19,1.20243,0.53732,1.27906,0.97004,0.97886,0.97458,0.55995,1.57666,0.59195,1.37724,0.00033425,0.00033425,0.00033425
113,2357.49,1.18607,0.52099,1.26824,0.9854,0.98712,0.98636,0.6057,1.43387,0.538,1.31523,0.000326,0.000326,0.000326
114,2369.85,1.17481,0.53556,1.26843,0.97447,0.97658,0.97772,0.56805,1.57745,0.58239,1.34729,0.00031775,0.00031775,0.00031775
115,2382.01,1.195,0.52989,1.26384,0.97511,0.97726,0.97535,0.59304,1.47975,0.56048,1.31981,0.0003095,0.0003095,0.0003095
116,2394.06,1.19917,0.52771,1.28108,0.9802,0.98508,0.98631,0.58213,1.52221,0.58013,1.3494,0.00030125,0.00030125,0.00030125
117,2406.78,1.19531,0.53109,1.27717,0.98479,0.98632,0.98492,0.61108,1.43665,0.53969,1.30903,0.000293,0.000293,0.000293
118,2419.21,1.16755,0.51291,1.25029,0.97989,0.98011,0.97859,0.58745,1.52039,0.55394,1.35435,0.00028475,0.00028475,0.00028475
119,2431.62,1.18868,0.51663,1.26957,0.9751,0.97637,0.97629,0.57801,1.57518,0.56061,1.36988,0.0002765,0.0002765,0.0002765
120,2444.4,1.17627,0.52345,1.26916,0.9824,0.98259,0.98141,0.59426,1.47514,0.52807,1.34733,0.00026825,0.00026825,0.00026825
121,2461.98,1.17534,0.50833,1.27124,0.98247,0.98237,0.98022,0.57797,1.55746,0.5513,1.38453,0.00026,0.00026,0.00026
122,2474.29,1.17769,0.50264,1.26566,0.98168,0.97992,0.98019,0.58657,1.54625,0.55134,1.39296,0.00025175,0.00025175,0.00025175
123,2486.48,1.15487,0.50834,1.26007,0.97633,0.97841,0.9752,0.58233,1.5251,0.5578,1.38672,0.0002435,0.0002435,0.0002435
124,2498.76,1.15023,0.49997,1.25455,0.9795,0.98111,0.98319,0.59223,1.48639,0.56495,1.3619,0.00023525,0.00023525,0.00023525
125,2511.11,1.16535,0.50862,1.27001,0.98075,0.97457,0.97839,0.58644,1.53043,0.5723,1.36662,0.000227,0.000227,0.000227
126,2523.57,1.14246,0.51024,1.24815,0.97698,0.97221,0.98214,0.5883,1.504,0.57894,1.36241,0.00021875,0.00021875,0.00021875
127,2536.12,1.15017,0.50346,1.25104,0.98502,0.98845,0.98892,0.61583,1.42662,0.55012,1.31466,0.0002105,0.0002105,0.0002105
128,2548.75,1.13807,0.49205,1.25415,0.98192,0.98177,0.97998,0.58435,1.53094,0.54122,1.35848,0.00020225,0.00020225,0.00020225
129,2560.75,1.15551,0.51331,1.25001,0.98221,0.98216,0.98119,0.58536,1.53111,0.55447,1.34942,0.000194,0.000194,0.000194
130,2573.28,1.13085,0.49084,1.23825,0.98718,0.9858,0.98658,0.61146,1.43599,0.51793,1.30876,0.00018575,0.00018575,0.00018575
131,2586.49,1.1709,0.50974,1.26678,0.97762,0.97576,0.97427,0.56275,1.58906,0.56889,1.40199,0.0001775,0.0001775,0.0001775
132,2600.26,1.14637,0.50647,1.25045,0.987,0.98834,0.98863,0.63829,1.35209,0.50833,1.30205,0.00016925,0.00016925,0.00016925
133,2613.68,1.1556,0.50679,1.26354,0.97475,0.97955,0.97921,0.57405,1.56849,0.56071,1.40227,0.000161,0.000161,0.000161
134,2626.01,1.16294,0.50294,1.26362,0.98001,0.98171,0.98614,0.60875,1.41735,0.54535,1.33483,0.00015275,0.00015275,0.00015275
135,2638.27,1.13895,0.50711,1.25827,0.97901,0.98174,0.98675,0.58623,1.5313,0.5557,1.3821,0.0001445,0.0001445,0.0001445
136,2650.09,1.13468,0.48926,1.24708,0.9836,0.98715,0.98668,0.61681,1.43464,0.52343,1.3368,0.00013625,0.00013625,0.00013625
137,2661.96,1.12331,0.49768,1.24037,0.9837,0.98705,0.98491,0.60429,1.4694,0.54286,1.34986,0.000128,0.000128,0.000128
138,2673.82,1.14763,0.49675,1.25479,0.97903,0.98289,0.98286,0.59091,1.51999,0.54214,1.38087,0.00011975,0.00011975,0.00011975
139,2685.5,1.14541,0.49253,1.25542,0.9825,0.98508,0.98317,0.60484,1.47272,0.53255,1.35668,0.0001115,0.0001115,0.0001115
140,2697.06,1.14075,0.49484,1.2536,0.98628,0.98928,0.98583,0.60825,1.45143,0.52751,1.35526,0.00010325,0.00010325,0.00010325
141,2708.85,1.13995,0.46125,1.23009,0.97908,0.98507,0.98204,0.57666,1.52319,0.57034,1.3865,9.5e-05,9.5e-05,9.5e-05
142,2720.54,1.11098,0.4517,1.21308,0.97658,0.97841,0.97976,0.56779,1.54544,0.57009,1.39482,8.675e-05,8.675e-05,8.675e-05
143,2732.49,1.10329,0.4481,1.20504,0.98173,0.9813,0.98442,0.60283,1.43444,0.53144,1.34718,7.85e-05,7.85e-05,7.85e-05
144,2744.16,1.11187,0.44286,1.21483,0.98239,0.98443,0.98409,0.59788,1.44435,0.53284,1.34761,7.025e-05,7.025e-05,7.025e-05
145,2755.68,1.10579,0.44326,1.20786,0.97914,0.98259,0.98256,0.5935,1.45852,0.54125,1.35711,6.2e-05,6.2e-05,6.2e-05
146,2766.99,1.10687,0.44406,1.21138,0.97625,0.97768,0.98026,0.5858,1.48455,0.54701,1.37239,5.375e-05,5.375e-05,5.375e-05
147,2778.04,1.09911,0.44019,1.21199,0.97532,0.97246,0.9786,0.58533,1.506,0.54836,1.38069,4.55e-05,4.55e-05,4.55e-05
148,2789.23,1.09507,0.43952,1.20981,0.97523,0.97498,0.97988,0.59363,1.47636,0.53856,1.36437,3.725e-05,3.725e-05,3.725e-05
149,2800.9,1.09673,0.43672,1.20736,0.97552,0.97886,0.97977,0.59144,1.49974,0.53862,1.3733,2.9e-05,2.9e-05,2.9e-05
150,2812.47,1.09692,0.43237,1.20293,0.97744,0.97895,0.98067,0.59493,1.483,0.53705,1.36642,2.075e-05,2.075e-05,2.075e-05
